code_or_ticker,glassdoor_url_review,glassdoor_url_interview,glassdoor_url_jobs,glassdoor_ben
YHOO,https://www.glassdoor.com/Reviews/Yahoo-Reviews-E5807.htm,https://www.glassdoor.com/Interview/Yahoo-Interview-Questions-E5807.htm,https://www.glassdoor.com/Jobs/Yahoo-Jobs-E5807.htm,"https://www.glassdoor.com/Benefits/Yahoo-US-Benefits-EI_IE5807.0,5_IL.6,8_IN1.htm"
MSFT,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651.htm,https://www.glassdoor.com/Interview/Microsoft-Interview-Questions-E1651.htm,https://www.glassdoor.com/Jobs/Microsoft-Jobs-E1651.htm,"https://www.glassdoor.com/Benefits/Microsoft-US-Benefits-EI_IE1651.0,9_IL.10,12_IN1.htm"
