Title,date
"<p>-- <a href=""http://onscale.com/"">OnScale</a> (Cupertino, CA), computer-aided multi-purpose engineering platform: <a href=""http://www.finsmes.com/2018/03/onscale-raises-3m-in-seed-funding.html"">$3M</a> Seed led by Thornton Tomasetti, participation from Michael Lehman, Palo Alto Networks, Sun Microsystems, Campbell Klein.</p>",2018-03-04
<p><strong>--Insurtech--</strong></p>,2018-03-04
"<p>-- <a href=""http://www.xagent.com/"">Xagent</a> (Reston, VA), single-entry submission platform for retail property and casualty agents: <a href=""http://www.finsmes.com/2018/03/xagent-closes-2-1m-seed-funding-round.html"">$2.1M</a> Seed from NFP, Brian Kapiloff, et al.</p>",2018-03-04
<p><strong>--Biotech/Health--</strong></p>,2018-02-25
"<p>-- <a href=""http://www.kallyope.com/"">Kallyope</a> (New York, NY), therapeutic opportunities involving the gut-brain axis: <a href=""http://www.finsmes.com/2018/02/kallyope-raises-66m-in-series-b-financing.html"">$66M</a> B from Lux, The Column Group, Polaris, Illumina, Alexandria, Euclidean, Two Sigma.</p>",2018-02-25
"<p>-- <a href=""http://evelobio.com/"">Evelo</a> (Cambridge, MA), oncology treatments: <a href=""https://news.crunchbase.com/news/evelo-biosciences-raises-47-5-million-new-funding-sec-filing-indicates/"">$47.5M</a> B led by Flagship Pioneering, participation from Alexandria, GV, Celegne, Mayo Clinic.</p>",2018-02-25
"<p>-- <a href=""http://www.hoththerapeutics.com/"">Hoth Therapeutics</a> (NV), treatments for eczema: <a href=""http://www.finsmes.com/2018/02/hoth-therapeutics-completes-3m-series-a-financing.html"">$3M</a> A from undisclosed sources.</p>",2018-02-25
<p><strong>--Lifestyle--</strong></p>,2018-02-25
"<p>-- <a href=""http://www.glossier.com/"">Glossier</a> (New York, NY), direct-to-consumer beauty products: <a href=""http://www.finsmes.com/2018/02/glossier-raises-52m-in-series-c-funding.html"">$52M</a> C led by IVP, Index Ventures.</p>",2018-02-25
"<p>-- <a href=""http://www.beautybydesign.com/"">Beauty By Design</a> (Los Angeles, CA), skincare products: <a href=""http://www.finsmes.com/2018/02/beauty-by-design-raises-2-2m-in-seed-funding.html"">$2.2M</a> led by Resolute Ventures, participation from Ludlow, TenoneTen, Troy Capital, et al.</p>",2018-02-25
<p><strong>--Consumer Internet--</strong></p>,2018-02-25
"<p>-- ZCool (China), social network and content distribution platform for artists: <a href=""http://www.finsmes.com/2018/02/zcool-network-technology-receives-15m-investment-from-shutterstock.html"">$15M</a> from Shutterstock.</p>",2018-02-25
"<p>-- <a href=""https://www.honcker.com/"">Honcker</a> (New York, NY), online car leasing platform: <a href=""https://techcrunch.com/2018/02/22/honcker-raises-at-least-15m-from-iac-as-it-takes-on-the-car-leasing-on-demand-market/"">$15M</a> A from IAC.</p>",2018-02-25
"<p>-- <a href=""http://kkday.com/"">KKday</a> (Taiwan), platform for local in-destination tours and guides: <a href=""http://www.finsmes.com/2018/02/kkday-raises-us10-5m-in-funding.html"">$10.5M</a> led by H.I.S., participation from MindWorks.</p>",2018-02-25
"<p>-- <a href=""http://www.kitsplit.com/"">KitSplit</a> (New York, NY), camera rental marketplace: <a href=""http://www.finsmes.com/2018/02/kitsplit-raises-2-1m-in-seed-funding.html"">$2.1M</a> from HearstLab, Entrepreneurs Roundtable, 3311 Ventures, NYU Innovation Venture Fund, WTI,  Mike Krieger.</p>",2018-02-25
<p><strong>--Dev--</strong></p>,2018-02-25
"<p>-- <a href=""http://www.dwavesys.com/"">D-Wave</a> (Vancouver, Canada), quantum computing systems and software: <a href=""http://www.finsmes.com/2018/02/d-wave-systems-raises-20m-in-funding.html"">$20M</a> Convertible Note from undisclosed sources. CEO <a href=""https://www.linkedin.com/in/vbrownell/"">Vern Brownell</a> spent 11 years as Goldman Sachs’ CTO.</p>",2018-02-25
"<p>-- <a href=""https://www.split.io/"">Split</a> (Redwood City, CA), feature experimentation platform: <a href=""http://www.finsmes.com/2018/02/split-closes-17m-series-b-funding.html"">$17M</a> B led by LightSpeed Venture Partners, participation from Accel, Harmony.</p>",2018-02-25
